Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365CH,B365CD,B36CA
Austria,Bundesliga,2025/2026,17/08/2025,16:00,SK Rapid,Altach,0,0,D,1.98,3.67,3.87,1.9,3.75,4.5,1.8,3.57,4.08,1.85,3.9,4.8,1.75,3.7,4.33
Austria,Bundesliga,2025/2026,17/08/2025,16:00,Wolfsberger AC,BW Linz,3,0,H,1.96,3.65,3.99,1.99,3.65,4.0,1.92,3.45,3.71,2.0,3.7,4.1,1.91,3.6,3.9
Austria,Bundesliga,2025/2026,23/08/2025,16:00,BW Linz,Ried,0,2,A,2.28,3.29,3.44,2.63,3.4,3.2,2.46,3.16,2.81,2.64,3.3,3.0,2.63,3.25,2.75
Austria,Bundesliga,2025/2026,23/08/2025,16:00,Salzburg,LASK,3,0,H,1.62,4.42,5.15,1.61,4.4,5.25,1.57,4.19,4.88,1.65,4.5,5.6,1.6,4.0,5.25
Austria,Bundesliga,2025/2026,24/08/2025,16:00,Altach,Grazer AK,1,1,D,2.0,3.44,4.1,1.98,3.5,4.6,1.85,3.37,4.13,1.91,3.5,5.0,1.8,3.5,4.33
Austria,Bundesliga,2025/2026,24/08/2025,16:00,Austria Vienna,Hartberg,1,3,A,1.69,4.17,4.83,1.66,4.1,5.25,1.63,3.88,4.83,1.68,4.1,5.6,1.65,4.0,5.0
Austria,Bundesliga,2025/2026,24/08/2025,16:00,Wolfsberger AC,SK Rapid,1,2,A,2.61,3.56,2.71,2.7,3.6,2.65,2.56,3.42,2.52,2.78,3.55,2.68,2.63,3.5,2.5
Austria,Bundesliga,2025/2026,30/08/2025,16:00,LASK,Ried,1,3,A,2.0,3.61,3.87,2.1,3.65,3.7,1.99,3.48,3.44,2.06,3.65,3.85,2.1,3.25,3.7
Austria,Bundesliga,2025/2026,30/08/2025,16:00,Salzburg,BW Linz,2,2,D,1.29,5.87,10.88,1.31,5.8,10.0,1.28,5.44,8.89,1.31,6.0,12.0,1.3,5.25,9.5
Austria,Bundesliga,2025/2026,30/08/2025,18:30,Grazer AK,Sturm Graz,0,3,A,5.36,4.25,1.63,5.25,4.2,1.65,4.82,4.04,1.6,5.6,4.4,1.64,5.0,4.1,1.62
Austria,Bundesliga,2025/2026,31/08/2025,16:00,Austria Vienna,Altach,1,0,H,2.07,3.49,3.78,1.92,3.6,4.75,1.84,3.46,4.02,1.9,3.65,4.7,1.71,3.4,4.75
Austria,Bundesliga,2025/2026,31/08/2025,16:00,Hartberg,SK Rapid,0,1,A,4.83,4.05,1.71,4.2,3.9,1.87,3.96,3.64,1.8,4.5,3.8,1.91,4.2,3.6,1.79
Austria,Bundesliga,2025/2026,31/08/2025,16:00,Tirol,Wolfsberger AC,1,1,D,3.01,3.61,2.36,3.1,3.65,2.35,2.91,3.41,2.24,3.15,3.65,2.36,3.1,3.4,2.2
Austria,Bundesliga,2025/2026,13/09/2025,16:00,Altach,LASK,1,0,H,2.78,3.32,2.69,2.38,3.4,3.3,2.25,3.22,3.06,2.32,3.35,3.45,2.15,3.25,3.3
Austria,Bundesliga,2025/2026,17/08/2025,16:00,LASK,Austria Vienna,2,1,H,2.62,3.78,2.59,2.55,3.7,2.6,2.5,3.52,2.52,2.66,3.85,2.68,2.5,3.7,2.55
Austria,Bundesliga,2025/2026,26/10/2025,16:00,Austria Vienna,Salzburg,0,3,A,3.13,3.71,2.17,2.85,3.6,2.45,2.69,3.5,2.35,2.84,3.75,2.56,2.7,3.4,2.35
