market,confidence,correct
Over 0.5 Goal,85.0,1
Under 2.5 Goal,70.5,0
Under 3.5 Goal,100.0,1
Doppia Chance 1X,78.1,1
Doppia Chance 12,75.4,0
Over 0.5 Goal,92.6,1
Over 1.5 Goal,73.3,1
Under 3.5 Goal,100.0,0
Doppia Chance 12,73.8,1
Over 0.5 Goal,92.8,1
Over 1.5 Goal,73.9,1
Under 3.5 Goal,100.0,1
Multigol Casa 1-3,70.0,1
Doppia Chance 12,75.5,1
Over 0.5 Goal,94.8,1
Over 1.5 Goal,79.5,1
Under 3.5 Goal,100.0,1
Multigol Ospite 1-3,72.3,1
Multigol Ospite 1-4,77.8,1
Multigol Ospite 1-5,79.5,1
Doppia Chance 12,75.8,0
Over 0.5 Goal,95.4,1
Over 1.5 Goal,81.1,1
Under 3.5 Goal,100.0,1
Doppia Chance 12,70.0,1
Over 0.5 Goal,87.8,1
Under 2.5 Goal,65.0,0
Under 3.5 Goal,100.0,0
Doppia Chance X2,72.4,1
Doppia Chance 12,75.9,1
Over 0.5 Goal,94.6,1
Over 1.5 Goal,78.7,1
Under 3.5 Goal,100.0,1
Doppia Chance 1X,77.2,0
Doppia Chance 12,74.8,1
Over 0.5 Goal,92.2,1
Over 1.5 Goal,72.1,0
Under 3.5 Goal,100.0,1
Doppia Chance 1X,81.5,0
Doppia Chance 12,74.3,1
Over 0.5 Goal,90.1,1
Under 3.5 Goal,100.0,1
Doppia Chance 12,74.3,1
Over 0.5 Goal,93.5,1
Over 1.5 Goal,75.7,0
Under 3.5 Goal,100.0,1
Multigol Casa 1-3,69.1,1
Doppia Chance 12,72.9,0
Over 0.5 Goal,91.4,1
Over 1.5 Goal,70.4,1
Under 3.5 Goal,100.0,0
Doppia Chance 1X,79.3,0
Doppia Chance 12,74.8,1
Over 0.5 Goal,91.6,1
Over 1.5 Goal,70.7,1
Under 3.5 Goal,100.0,1
Doppia Chance X2,73.8,1
Under 2.5 Goal,72.7,0
Under 3.5 Goal,100.0,0
Doppia Chance 1X,81.8,1
Doppia Chance 12,70.9,0
Over 0.5 Goal,85.5,1
Under 2.5 Goal,69.6,1
Under 3.5 Goal,100.0,1
Doppia Chance 12,75.9,1
Over 0.5 Goal,95.4,1
Over 1.5 Goal,81.2,1
Under 3.5 Goal,100.0,0
Multigol Casa 1-3,72.1,0
Multigol Casa 1-4,77.4,1
Multigol Casa 1-5,79.1,1
Doppia Chance 12,72.7,1
Over 0.5 Goal,91.4,1
Over 1.5 Goal,70.4,0
Under 3.5 Goal,100.0,1
Doppia Chance 12,72.9,1
Over 0.5 Goal,91.4,1
Over 1.5 Goal,70.4,1
Under 3.5 Goal,100.0,1
Multigol Casa 1-3,69.3,1
