match_idx,date_orig,home_team,away_team,lambda_home_orig,lambda_away_orig,O_0_5_orig,O_1_5_orig,MG_Casa_1_3_orig,MG_Casa_1_4_orig,MG_Casa_1_5_orig,MG_Ospite_1_3_orig,MG_Ospite_1_4_orig,MG_Ospite_1_5_orig,1X2_H_orig,1X2_D_orig,1X2_A_orig,odds_1,odds_X,odds_2,actual_home_goals,actual_away_goals,actual_scoreline_orig,top_scoreline_1,top_scoreline_2,top_scoreline_3,top_scoreline_4,date_new,lambda_home_new,lambda_away_new,O_0_5_new,O_1_5_new,O_2_5,MG_Casa_1_3_new,MG_Casa_1_4_new,MG_Casa_1_5_new,MG_Ospite_1_3_new,MG_Ospite_1_4_new,MG_Ospite_1_5_new,1X2_H_new,1X2_D_new,1X2_A_new,actual_scoreline_new,confidence,lambda_home_diff,lambda_away_diff,1x2_h_diff,1x2_d_diff,1x2_a_diff,o25_orig_calc,ou25_diff,confidence_bin
2674,2025-08-30,Napoli,Cagliari,1.7871764705882354,0.9502857142857142,0.9345786720860468,0.7554902608373613,0.7332789030255792,0.8051713911952563,0.8308683038490341,0.597551861186407,0.6106950247101297,0.6131929768175527,0.5665706192033035,0.2336131768794778,0.1998162039172185,1.3,5.23,10.34,1,0,1-0,1-0 (0.117),1-1 (0.111),2-0 (0.104),2-1 (0.099),2025-08-30,1.589,0.788,0.907,0.685,0.421,0.723,0.777,0.795,0.537,0.544,0.545,0.562,0.252,0.186,1-0,1.0,-0.1981764705882354,-0.16228571428571414,-0.004570619203303483,0.0183868231205222,-0.013816203917218495,0.5050076824030242,-0.0840076824030242,High
2676,2025-08-31,Inter,Udinese,1.8601,0.981,0.9408962787632038,0.7729766963573421,0.7346232736648296,0.8132115709531735,0.8424479893103833,0.6075456845112166,0.6220219207966622,0.6248621583558668,0.5749703381134762,0.2273498058990557,0.197679855987468,1.31,5.31,9.22,1,2,1-2,1-0 (0.110),1-1 (0.108),2-0 (0.102),2-1 (0.100),2025-08-31,1.662,0.819,0.916,0.707,0.447,0.728,0.789,0.809,0.549,0.558,0.559,0.571,0.244,0.184,1-2,1.0,-0.19810000000000016,-0.16200000000000003,-0.003970338113476246,0.016650194100944288,-0.013679855987468015,0.5277264790179044,-0.08072647901790436,High
2677,2025-08-31,Lazio,Verona,1.3073333333333332,1.1217142857142857,0.9115822607531576,0.6968113617540423,0.6872045160436374,0.7202082793890405,0.7288376633784185,0.6475957540604255,0.6691051295235759,0.6739306042703374,0.4072026285838318,0.2741105767063613,0.3186867947098068,1.45,4.41,6.9,4,0,4-0,1-1 (0.130),1-0 (0.116),0-1 (0.099),0-0 (0.088),2025-08-31,1.109,0.96,0.874,0.612,0.341,0.644,0.665,0.67,0.601,0.614,0.617,0.388,0.302,0.311,4-0,1.0,-0.19833333333333325,-0.1617142857142857,-0.019202628583831816,0.027889423293638693,-0.007686794709806821,0.4345024453819398,-0.09350244538193975,High
2678,2025-08-31,Genoa,Juventus,0.8884000000000001,1.1310000000000002,0.8670742112759096,0.5986438735264812,0.5759780659414372,0.5866571775307626,0.5885546420779539,0.6499213472791974,0.6719473788348829,0.6769296671727789,0.2851922394244987,0.304027203630988,0.410780556944513,4.38,3.36,1.86,0,1,0-1,0-1 (0.150),1-1 (0.134),0-0 (0.133),1-0 (0.118),2025-08-31,1.02,0.999,0.867,0.599,0.328,0.62,0.636,0.639,0.613,0.628,0.632,0.352,0.307,0.341,0-1,1.0,0.13159999999999994,-0.13200000000000023,0.06680776057550131,0.0029727963690119874,-0.06978055694451296,0.32713974506737514,0.000860254932624871,High
2679,2025-08-31,Torino,Fiorentina,1.1153333333333335,1.2685,0.9075249063672016,0.6870796956622153,0.6459756136400953,0.6671336574252132,0.6718533117255469,0.6800743225669589,0.7104766896617547,0.7181897701937043,0.3243689066518975,0.2775390451118056,0.398092048236297,3.13,3.15,2.36,0,0,0-0,1-1 (0.131),0-1 (0.117),1-0 (0.103),0-0 (0.092),2025-08-31,1.247,1.136,0.908,0.687,0.424,0.676,0.705,0.712,0.651,0.674,0.679,0.388,0.278,0.334,0-0,1.0,0.1316666666666666,-0.13250000000000006,0.06363109334810252,0.0004609548881944203,-0.064092048236297,0.42304893731934,0.0009510626806599753,High
2680,2025-09-13,Fiorentina,Napoli,1.0632,1.0635,0.8805754418847769,0.6265952341411318,0.6320550172106768,0.6504568186682169,0.6543697777301483,0.63213865799452,0.650555733458622,0.6544730454098366,0.3510334596824441,0.2977808224454568,0.3511857178720992,3.43,3.14,2.22,1,3,1-3,1-1 (0.135),0-1 (0.127),1-0 (0.127),0-0 (0.119),2025-09-13,1.195,0.932,0.881,0.627,0.356,0.665,0.691,0.697,0.591,0.604,0.606,0.42,0.294,0.286,1-3,1.0,0.13180000000000014,-0.13149999999999984,0.06896654031755589,-0.0037808224454567996,-0.0651857178720992,0.3559448666672821,5.513333271789378e-05,High
2681,2025-09-13,Cagliari,Parma,1.554,1.1176363636363635,0.9304218748865324,0.7445344257197515,0.7197890709018575,0.7714298714486403,0.7874798322585805,0.6465624364342477,0.6678469350680005,0.6726046009989709,0.4716384826827988,0.2541936702624516,0.2741678470547496,2.17,3.21,3.49,2,0,2-0,1-1 (0.121),1-0 (0.108),2-1 (0.094),2-0 (0.084),2025-09-13,1.554,1.118,0.93,0.745,0.496,0.72,0.771,0.787,0.647,0.668,0.673,0.472,0.254,0.274,2-0,1.0,0.0,0.0003636363636365658,0.0003615173172011876,-0.00019367026245159513,-0.0001678470547495925,0.49309077786591726,0.002909222134082734,High
2682,2025-09-13,Juventus,Inter,1.347,1.0150526315789472,0.905461958149382,0.6821581276118089,0.693892914039799,0.7296546594489987,0.7392888736622371,0.6180882859302825,0.6341277569383902,0.6373839383895731,0.4422742191063892,0.2752982955546786,0.2824274853389322,2.72,3.03,2.77,4,3,4-3,1-1 (0.129),1-0 (0.127),0-1 (0.096),0-0 (0.095),2025-09-13,1.347,1.015,0.905,0.682,0.418,0.694,0.73,0.739,0.618,0.634,0.637,0.442,0.275,0.282,4-3,1.0,0.0,-5.263157894730419e-05,-0.0002742191063891952,-0.0002982955546785848,-0.00042748533893222085,0.41705202233319605,0.0009479776668039341,High
2683,2025-09-14,Roma,Torino,1.37,0.6659999999999999,0.8690637791651149,0.6024776335452888,0.6975033175138676,0.7349093033817576,0.7451585435095595,0.4814322818464732,0.485644156115259,0.4862051777678613,0.5374973432010657,0.2805825341510065,0.1819201226479277,1.51,4.08,6.65,0,1,0-1,1-0 (0.179),0-0 (0.131),2-0 (0.123),1-1 (0.119),2025-09-14,1.37,0.666,0.869,0.602,0.331,0.698,0.735,0.745,0.481,0.486,0.486,0.537,0.281,0.182,0-1,1.0,0.0,1.1102230246251565e-16,-0.0004973432010656476,0.0004174658489935479,7.987735207229396e-05,0.3301159814043437,0.000884018595656344,High
2684,2025-09-14,Atalanta,Lecce,1.4964444444444442,1.1217142857142857,0.9266618084453307,0.7346507819724206,0.7140240672766714,0.7610190299779587,0.7750841001482017,0.6475957540604256,0.669105129523576,0.6739306042703376,0.4563996518598598,0.2588164232416423,0.2847839248984979,1.4,4.56,7.85,4,1,4-1,1-1 (0.123),1-0 (0.110),2-1 (0.092),0-1 (0.082),2025-09-14,1.298,0.96,0.895,0.658,0.391,0.686,0.718,0.726,0.601,0.614,0.617,0.442,0.282,0.276,4-1,1.0,-0.1984444444444442,-0.1617142857142857,-0.014399651859859808,0.023183576758357693,-0.008783924898497886,0.4806495249237414,-0.0896495249237414,High
2685,2025-09-14,Pisa,Udinese,0.6340000000000001,1.0460000000000005,0.8134765729442197,0.5001172154905087,0.4654822965058616,0.4690535930316294,0.4695064334310967,0.6271900414715633,0.6447275849705761,0.6483964390705695,0.2194441298018388,0.3323020648377305,0.4482538053604309,2.78,3.08,2.64,0,1,0-1,0-1 (0.195),0-0 (0.187),1-1 (0.124),1-0 (0.118),2025-09-14,0.766,0.914,0.814,0.5,0.237,0.527,0.534,0.535,0.585,0.597,0.599,0.288,0.342,0.371,0-1,0.2,0.1319999999999999,-0.13200000000000045,0.06855587019816117,0.009697935162269522,-0.07725380536043092,0.23670554394310286,0.0002944560568971244,Low
2686,2025-09-14,Sassuolo,Lazio,1.0626666666666666,1.516,0.9237057257415884,0.7269682238538971,0.6319062201653753,0.6502808847122376,0.654186113417264,0.7161006048776721,0.764655730352243,0.7793776443961327,0.2664464046074724,0.2585173349611019,0.4750362604314257,3.49,3.49,2.04,1,0,1-0,1-1 (0.123),0-1 (0.116),1-2 (0.093),0-2 (0.088),2025-09-14,1.033,1.186,0.891,0.649,0.381,0.623,0.64,0.644,0.663,0.688,0.694,0.317,0.289,0.393,1-0,1.0,-0.02966666666666673,-0.33000000000000007,0.05055359539252763,0.03048266503889807,-0.0820362604314257,0.47070758790028205,-0.08970758790028205,High
2687,2025-09-14,Milan,Bologna,1.3332000000000002,0.834,0.8851861071741755,0.6363614386420485,0.6916330131147884,0.7264239515480928,0.7357006073719491,0.5553739665070667,0.5641308835983098,0.565591537369129,0.4828358294454125,0.2826624501398722,0.2345017204147153,1.89,3.48,4.04,1,0,1-0,1-0 (0.153),1-1 (0.128),0-0 (0.115),2-0 (0.102),2025-09-14,1.333,0.834,0.885,0.636,0.367,0.692,0.726,0.736,0.555,0.564,0.566,0.483,0.283,0.235,1-0,1.0,-0.00020000000000020002,0.0,0.00016417055458750607,0.00033754986012779487,0.0004982795852847,0.3657252531401216,0.001274746859878384,High
2688,2025-09-15,Verona,Cremonese,1.0414285714285716,0.954,0.8638816398583031,0.592267174935557,0.6258739000409439,0.6431855356193232,0.64679130200122,0.5987851986623677,0.612085686661384,0.6146234197715962,0.3683571758755897,0.3088927234650633,0.3227501006593469,2.34,3.13,3.16,0,0,0-0,1-0 (0.142),0-0 (0.136),1-1 (0.135),0-1 (0.130),2025-09-15,1.041,0.954,0.864,0.592,0.321,0.626,0.643,0.647,0.599,0.612,0.615,0.368,0.309,0.323,0-0,1.0,-0.00042857142857166686,0.0,-0.0003571758755896992,0.00010727653493669553,0.0002498993406531147,0.3208888573875459,0.00011114261245409596,High
2689,2025-09-15,Como,Genoa,1.269375,0.894,0.8847968182451931,0.6355691349163877,0.680241460270158,0.7107013412849279,0.7184343435775528,0.5780108861248527,0.5889007794645263,0.5908478923936601,0.4498878911545375,0.2880519338229448,0.2620601750225175,1.64,3.68,5.5,1,1,1-1,1-0 (0.146),1-1 (0.131),0-0 (0.115),0-1 (0.103),2025-09-15,1.269,0.894,0.885,0.636,0.366,0.68,0.711,0.718,0.578,0.589,0.591,0.45,0.288,0.262,1-1,1.0,-0.0003750000000000142,0.0,0.00011210884546253297,-5.19338229448274e-05,-6.017502251748352e-05,0.3651356327584385,0.00086436724156147,High
