date,home_team,away_team,actual_home_goals,actual_away_goals,actual_scoreline,O_0_5,actual_O_0_5,O_1_5,actual_O_1_5,MG_Casa_1_3,actual_MG_Casa_1_3,MG_Casa_1_4,actual_MG_Casa_1_4,MG_Casa_1_5,actual_MG_Casa_1_5,MG_Ospite_1_3,actual_MG_Ospite_1_3,MG_Ospite_1_4,actual_MG_Ospite_1_4,MG_Ospite_1_5,actual_MG_Ospite_1_5
2025-08-24,Everton,Brighton,2,0,2-0,0.9281899998216254,1,0.7387160502600668,1,0.6852823398670119,1,0.7175534877936487,1,0.7259216898250976,1,0.6930822875398112,0,0.7284909140905382,0,0.7379945894567533,0
2025-08-24,Fulham,Man United,1,1,1-1,0.9471587626440376,1,0.7913421478130016,1,0.7053351078224862,1,0.7467840128102261,1,0.7585950377053479,1,0.7169148368539575,1,0.7661137390094117,1,0.7811095643863942,1
2025-08-25,Newcastle,Liverpool,2,3,2-3,0.9597799120980232,1,0.8299165610057955,1,0.7347946988320444,1,0.81551172773188,1,0.8459097608155579,1,0.6937021471851388,1,0.7293802875265141,1,0.7389835455194906,1
2025-08-30,Tottenham,Bournemouth,0,1,0-1,0.9511604183624932,1,0.8032431081993898,0,0.7204966150763865,0,0.772784804144824,0,0.7891182400580953,0,0.7106351570024377,1,0.7553003114206496,1,0.7684030062582874,1
2025-08-30,Chelsea,Fulham,2,0,2-0,0.9292399916107404,1,0.7413973435710101,1,0.7192249998556526,1,0.7703637492674976,1,0.7861950276166696,1,0.6437727788036579,0,0.664464048437345,0,0.6690441405525679,0
2025-08-30,Man United,Burnley,3,2,3-2,0.9111320430493254,1,0.6957343447253928,1,0.6591247454640153,1,0.6833506361993805,1,0.6890162645126913,1,0.6773513530415578,1,0.7068380197022328,1,0.7142359975468836,1
2025-08-30,Sunderland,Brentford,2,1,2-1,0.9436470658208964,1,0.7809279683787347,1,0.7336417966455998,1,0.8068386053761172,1,0.8332114155617226,1,0.6382942718196013,1,0.6578763270121404,1,0.6621295493999599,1
2025-08-30,Wolves,Everton,2,3,2-3,0.8997453779308605,1,0.6688821189876483,1,0.6818728514642267,1,0.7129023960239256,1,0.7208335476133846,1,0.6209946488346919,1,0.6374965599248128,1,0.6408786900716219,1
2025-08-30,Leeds,Newcastle,0,0,0-0,0.9325342138788092,0,0.7502655471868771,0,0.6827883782902232,0,0.7141443710917825,0,0.7221897487357026,0,0.7045242673145089,0,0.7455193213506314,0,0.7571515600516601,0
2025-08-31,Brighton,Man City,2,1,2-1,0.9406336174959808,1,0.7725673886271025,1,0.6912661765194216,1,0.7259034546292968,1,0.7351238980621457,1,0.7144107862020662,1,0.7616879705830853,1,0.7758711258973912,1
2025-08-31,Nott'm Forest,West Ham,0,3,0-3,0.9144508206972096,1,0.7038155798415392,1,0.6844870198197912,0,0.7164621054280322,0,0.7247254513979897,0,0.6592792157193798,1,0.6835443105939987,1,0.6892223427946593,1
2025-08-31,Liverpool,Arsenal,1,0,1-0,0.9611600699687606,1,0.8344457230020805,0,0.7331543591375055,1,0.8046373636426161,1,0.8301234375155048,1,0.7121600565802579,0,0.757843307852475,0,0.771363809914717,0
2025-08-31,Aston Villa,Crystal Palace,0,3,0-3,0.9141600774163352,1,0.7028810496765532,1,0.7221886214685372,0,0.776113278444351,0,0.7931707259389404,0,0.5727928811187231,1,0.5831498493983713,1,0.5849720839888307,1
2025-09-13,Newcastle,Wolves,1,0,1-0,0.9577664782058256,1,0.8232032377372791,0,0.7310783566713338,1,0.8325344874941102,1,0.8751785284015395,1,0.6379102954634182,0,0.6574172465779671,0,0.6616485829454429,0
2025-09-13,Brentford,Chelsea,2,2,2-2,0.9453528211998335,1,0.7860738715753255,1,0.7049361630498031,1,0.746160624859068,1,0.7578831260308099,1,0.7136332454982741,1,0.7603466359336867,1,0.7742942162423581,1
2025-09-13,Fulham,Leeds,1,0,1-0,0.92545857798596,1,0.7314123481990105,0,0.7243598765027898,1,0.7806024276783391,1,0.798703530348678,1,0.6116364735431701,0,0.6266989302295114,0,0.6296933466187562,0
2025-09-13,West Ham,Tottenham,0,3,0-3,0.9435002075058077,1,0.7807243053300389,1,0.6985638791402323,0,0.7364766901516098,0,0.7469178783041431,0,0.7148409573645531,1,0.7624364130781861,1,0.776753126156847,1
2025-09-13,Crystal Palace,Sunderland,0,0,0-0,0.8572109063181513,0,0.5789435205509647,0,0.6885088561668279,0,0.7220241055661379,0,0.7308372755481806,0,0.4654822965058615,0,0.4690535930316292,0,0.4695064334310965,0
2025-09-13,Bournemouth,Brighton,2,1,2-1,0.9332033036313296,1,0.7520649766572887,1,0.7075182838230971,1,0.7502366961332172,1,0.7625524144022249,1,0.6804150995344749,1,0.7109348964937268,1,0.7186886689097745,1
2025-09-13,Arsenal,Nott'm Forest,3,0,3-0,0.9447756356458638,1,0.7843120409541953,1,0.7290900636060629,1,0.7916847521486061,1,0.8127541243120262,1,0.6708923770478848,0,0.6983548417998099,0,0.7050703298471473,0
2025-09-13,Everton,Aston Villa,0,0,0-0,0.8817320506925296,0,0.6290158836077187,0,0.6702758180117016,0,0.6975550543092053,0,0.7042097330731937,0,0.5862173696328946,0,0.5980014312911455,0,0.6001628094925249,0
2025-09-14,Burnley,Liverpool,0,1,0-1,0.9421884324365176,1,0.7769579452472533,0,0.6873218391977189,0,0.7203711245601239,0,0.7290168176109291,0,0.7194300417699284,1,0.7707498957855625,1,0.7866599430496094,1
2025-09-14,Man City,Man United,3,0,3-0,0.9471098206775346,1,0.7910031971172939,1,0.7339495227332085,1,0.8084287349524835,1,0.8354724915722176,1,0.6511579214974074,0,0.6734647897552675,0,0.6785329102234534,0
2025-09-20,Fulham,Brentford,3,1,3-1,0.8847944062614697,1,0.6356151802408228,1,0.6571564641333091,1,0.6808897265453551,1,0.68640015856357,1,0.6141132309254206,1,0.629542927171862,1,0.6326350382996487,1
2025-09-20,Man United,Chelsea,2,1,2-1,0.9367479063671,1,0.7616162762083707,1,0.6449819632755492,1,0.6659279222441674,1,0.6705840185050825,1,0.7276181379571901,1,0.7879794205652483,1,0.8079871737070661,1
2025-09-20,Wolves,Leeds,1,3,1-3,0.9181439578381058,1,0.7127726051233906,1,0.7221886214685371,1,0.7761132784443507,1,0.7931707259389401,1,0.5897773638939944,1,0.6019720598442142,1,0.6042337694531149,1
2025-09-20,West Ham,Crystal Palace,1,2,1-2,0.8974896143267933,1,0.6636019183748048,1,0.5622115901411748,1,0.5715655979780409,1,0.5731587725928161,1,0.7060280042173334,1,0.7478721219671398,1,0.7598395396435847,1
2025-09-20,Burnley,Nott'm Forest,1,1,1-1,0.9068273879297604,1,0.6854093305314128,1,0.6340588530487288,1,0.6528305856950612,1,0.6568493454870319,1,0.6869693601539092,1,0.7198821658172482,1,0.7284789906565124,1
2025-09-20,Brighton,Tottenham,2,2,2-2,0.95490921291259,1,0.8146283057615735,1,0.7321744776361755,1,0.800888756006929,1,0.8249662391480411,1,0.6958128310755128,1,0.732433890441808,1,0.7423880577784805,1
2025-09-20,Liverpool,Everton,2,1,2-1,0.9514096334226184,1,0.8039157843300035,1,0.7317056427368416,1,0.7992955260285993,1,0.8228094319723175,1,0.6851839629757889,1,0.717418270103467,1,0.7257734025109612,1
2025-09-21,Bournemouth,Newcastle,0,0,0-0,0.8993729673071172,0,0.6679504953086994,0,0.7006432752550062,0,0.7395842042178667,0,0.7504181697465493,0,0.5832796569791008,0,0.5947354381364891,0,0.5968174742901118,0
2025-09-21,Sunderland,Aston Villa,1,1,1-1,0.9058501740397358,1,0.6829277953799677,1,0.7154493258667276,1,0.7635029786142541,1,0.7780126900731238,1,0.5646570330470109,1,0.5742340285356302,1,0.5758774409614772,1
2025-09-21,Arsenal,Man City,1,1,1-1,0.9417010881969192,1,0.7755441685992283,1,0.7237732469210023,1,0.779361983245558,1,0.7971665501381648,1,0.6761975030058298,1,0.7053078168006797,1,0.7125774282161432,1
2025-09-27,Tottenham,Wolves,1,1,1-1,0.9202856124623572,1,0.7182779666723225,1,0.7105604888084469,1,0.7551769684727306,1,0.7682597950668604,1,0.6333883033956503,1,0.6520353087721648,1,0.6560183091205881,1
2025-09-27,Man City,Burnley,5,1,5-1,0.9467030349192256,1,0.7898957497994326,1,0.7312842221128661,0,0.7979409479027577,0,0.8209908436809022,1,0.6688776911062072,1,0.695747450277492,1,0.7022668215598505,1
2025-09-27,Leeds,Bournemouth,2,2,2-2,0.907759652492146,1,0.6876019391501481,1,0.6234482511501981,1,0.6403519776608495,1,0.6438445948984323,1,0.6949634452120549,1,0.7312002580843434,1,0.7410109570524441,1
2025-09-27,Nott'm Forest,Sunderland,0,1,0-1,0.823658380140045,1,0.5174652038377594,0,0.642626851116551,0,0.6630801317702812,0,0.6675895223376838,0,0.4654822965058616,1,0.4690535930316294,1,0.4695064334310965,1
2025-09-27,Chelsea,Brighton,1,3,1-3,0.9346564409859802,1,0.755991775686588,1,0.7135609557845821,1,0.7602226575469424,1,0.7741487051976196,1,0.6748684439377677,1,0.7035534761613098,1,0.7106788381656377,1
2025-09-27,Brentford,Man United,3,1,3-1,0.9606858570603364,1,0.8328440914707285,1,0.7347877856936088,1,0.8153787376127248,1,0.8457074831420035,1,0.6975268171875143,1,0.7349439102273734,1,0.7451973450154653,1
2025-09-27,Crystal Palace,Liverpool,2,1,2-1,0.9254416137461036,1,0.7315387055281314,1,0.6782975290049763,1,0.7080979125673347,1,0.7156034021120754,1,0.6929829694667581,1,0.7283487141847986,1,0.7378365746721116,1
2025-09-28,Aston Villa,Fulham,3,1,3-1,0.9272143167953724,1,0.7359559369284432,1,0.7269101379980417,1,0.7862932535902711,1,0.8058421752432332,1,0.6077656086219285,1,0.6222727343633465,1,0.6251210411127615,1
2025-09-28,Newcastle,Arsenal,1,2,1-2,0.9123028082945766,1,0.6985727514401208,1,0.6777320029803159,1,0.7073443187806006,1,0.714785301494896,1,0.661741008226481,1,0.6866419056860846,1,0.6925221870924926,1
2025-09-29,Everton,West Ham,1,1,1-1,0.9222831558370912,1,0.7234109327471516,1,0.6946305243900716,1,0.7307185123813361,1,0.7404738172951348,1,0.6676304074094699,1,0.6941417365406966,1,0.7005433388149168,1
