date,home_team,away_team,actual_scoreline,actual_home_goals,actual_away_goals,odds_1,odds_X,odds_2,1X2_H,actual_1X2_H,1X2_D,actual_1X2_D,1X2_A,actual_1X2_A,O_0_5,actual_O_0_5,O_1_5,actual_O_1_5,MG_Casa_1_3,actual_MG_Casa_1_3,MG_Casa_1_4,actual_MG_Casa_1_4,MG_Casa_1_5,actual_MG_Casa_1_5,MG_Ospite_1_3,actual_MG_Ospite_1_3,MG_Ospite_1_4,actual_MG_Ospite_1_4,MG_Ospite_1_5,actual_MG_Ospite_1_5
2025-08-29,Cremonese,Sassuolo,3-2,3,2,2.55,3.2,2.82,0.4809071716724813,1,0.2560323633505485,0,0.2630604649769701,0,0.9260355381916436,1,0.7329800171278545,1,0.7188040944749372,1,0.7695759058793794,1,0.7852479924027442,1,0.6330358119361412,1,0.6516176307978251,1,0.6555819773891522,1
2025-08-30,Bologna,Como,1-0,1,0,2.42,3.14,3.04,0.4003035209767181,1,0.2643817755710511,0,0.3353147034522305,0,0.9253328101953664,1,0.7312508229549461,0,0.6975033175138677,1,0.7349093033817578,1,0.7451585435095597,1,0.6722724657460772,0,0.7001511132056073,0,0.7070053246715986,0
2025-08-30,Parma,Atalanta,1-1,1,1,3.82,3.49,1.96,0.2713798316779746,0,0.2426666710340372,1,0.4859534972879883,0,0.9433099570102932,1,0.780079314992461,1,0.6644932433796964,1,0.6901304344114405,1,0.6962474681916148,1,0.729269057109707,1,0.792157310883326,1,0.813367669226645,1
2025-08-30,Napoli,Cagliari,1-0,1,0,1.3,5.23,10.34,0.5665706192033035,1,0.2336131768794778,0,0.1998162039172185,0,0.9345786720860468,1,0.7554902608373613,0,0.7332789030255792,1,0.8051713911952563,1,0.8308683038490341,1,0.597551861186407,0,0.6106950247101297,0,0.6131929768175527,0
2025-08-31,Inter,Udinese,1-2,1,2,1.31,5.31,9.22,0.5749703381134762,0,0.2273498058990557,0,0.197679855987468,1,0.9408962787632038,1,0.7729766963573421,1,0.7346232736648296,1,0.8132115709531735,1,0.8424479893103833,1,0.6075456845112166,1,0.6220219207966622,1,0.6248621583558668,1
2025-08-31,Lazio,Verona,4-0,4,0,1.45,4.41,6.9,0.4072026285838318,1,0.2741105767063613,0,0.3186867947098068,0,0.9115822607531576,1,0.6968113617540423,1,0.6872045160436374,0,0.7202082793890405,1,0.7288376633784185,1,0.6475957540604255,0,0.6691051295235759,0,0.6739306042703374,0
2025-08-31,Genoa,Juventus,0-1,0,1,4.38,3.36,1.86,0.2851922394244987,0,0.304027203630988,0,0.410780556944513,1,0.8670742112759096,1,0.5986438735264812,0,0.5759780659414372,0,0.5866571775307626,0,0.5885546420779539,0,0.6499213472791974,1,0.6719473788348829,1,0.6769296671727789,1
2025-08-31,Torino,Fiorentina,0-0,0,0,3.13,3.15,2.36,0.3243689066518975,0,0.2775390451118056,1,0.398092048236297,0,0.9075249063672016,0,0.6870796956622153,0,0.6459756136400953,0,0.6671336574252132,0,0.6718533117255469,0,0.6800743225669589,0,0.7104766896617547,0,0.7181897701937043,0
2025-09-13,Fiorentina,Napoli,1-3,1,3,3.43,3.14,2.22,0.3510334596824441,0,0.2977808224454568,0,0.3511857178720992,1,0.8805754418847769,1,0.6265952341411318,1,0.6320550172106768,1,0.6504568186682169,1,0.6543697777301483,1,0.63213865799452,1,0.650555733458622,1,0.6544730454098366,1
2025-09-13,Cagliari,Parma,2-0,2,0,2.17,3.21,3.49,0.4716384826827988,1,0.2541936702624516,0,0.2741678470547496,0,0.9304218748865324,1,0.7445344257197515,1,0.7197890709018575,1,0.7714298714486403,1,0.7874798322585805,1,0.6465624364342477,0,0.6678469350680005,0,0.6726046009989709,0
