Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5,Season,SeasonCode
24/09/2019,20:00,Crotone,Juve Stabia,2,0,0,0,26,5,9,0,1.82,3.31,4.62,2.12,1.7,2019/2020,1920
24/09/2019,20:00,Perugia,Frosinone,3,1,2,1,19,5,7,2,2.35,3.05,3.18,2.14,1.69,2019/2020,1920
24/09/2019,20:00,Pisa,Empoli,2,3,1,1,9,15,6,5,2.61,3.04,2.8,2.17,1.68,2019/2020,1920
24/09/2019,20:00,Pordenone,Benevento,1,1,1,1,14,12,4,6,3.07,3.05,2.41,2.08,1.73,2019/2020,1920
24/09/2019,20:00,Virtus Entella,Venezia,0,2,0,1,15,11,1,8,1.88,3.26,4.39,2.06,1.74,2019/2020,1920
25/09/2019,18:00,Trapani,Cremonese,0,0,0,0,16,3,4,3,2.69,3.05,2.68,2.12,1.7,2019/2020,1920
25/09/2019,20:00,Salernitana,Chievo,1,1,1,1,3,4,3,4,2.45,3.08,2.94,2.13,1.69,2019/2020,1920
27/09/2019,20:00,Pescara,Crotone,0,3,0,1,13,17,3,9,2.73,3.08,2.64,2.02,1.78,2019/2020,1920
28/09/2019,14:00,Frosinone,Cosenza,1,1,1,0,7,12,0,4,1.72,3.46,5.03,2.11,1.71,2019/2020,1920
28/09/2019,14:00,Juve Stabia,Cittadella,0,1,0,0,7,10,2,2,2.69,3.02,2.73,2.1,1.71,2019/2020,1920
28/09/2019,14:00,Venezia,Pisa,1,1,1,1,11,11,3,3,2.46,2.97,3.06,2.31,1.59,2019/2020,1920
28/09/2019,17:00,Empoli,Perugia,3,0,2,0,15,18,7,3,1.95,3.3,3.95,2.0,1.8,2019/2020,1920
29/09/2019,14:00,Benevento,Virtus Entella,1,1,1,0,21,7,5,3,1.64,3.55,5.6,2.04,1.76,2019/2020,1920
29/09/2019,14:00,Chievo,Pordenone,1,1,0,1,20,6,8,2,2.08,3.14,3.7,2.11,1.71,2019/2020,1920
29/09/2019,14:00,Spezia,Trapani,2,4,1,3,11,8,3,8,1.76,3.38,4.9,2.06,1.74,2019/2020,1920
29/09/2019,20:00,Livorno,Salernitana,2,3,1,1,20,8,7,3,2.32,2.97,3.31,2.29,1.6,2019/2020,1920
30/09/2019,20:00,Cremonese,Ascoli,1,0,1,0,17,4,8,1,2.23,3.18,3.25,2.02,1.76,2019/2020,1920
04/10/2019,20:00,Perugia,Pisa,1,0,1,0,3,3,3,3,1.96,3.19,4.12,2.19,1.66,2019/2020,1920
05/10/2019,14:00,Cosenza,Venezia,1,1,1,0,15,9,3,2,2.13,3.11,3.6,2.23,1.63,2019/2020,1920
05/10/2019,14:00,Crotone,Virtus Entella,3,1,2,0,18,8,7,4,1.77,3.36,4.85,2.24,1.63,2019/2020,1920
05/10/2019,14:00,Livorno,Chievo,3,4,3,1,13,15,5,5,2.53,2.99,2.93,2.25,1.62,2019/2020,1920
05/10/2019,14:00,Pordenone,Empoli,2,0,2,0,21,9,5,2,3.01,3.16,2.37,2.05,1.75,2019/2020,1920
05/10/2019,14:00,Spezia,Benevento,0,1,0,0,8,5,2,2,2.85,3.15,2.49,2.01,1.8,2019/2020,1920
05/10/2019,17:00,Trapani,Juve Stabia,1,2,1,0,10,12,3,7,2.11,3.1,3.67,2.21,1.65,2019/2020,1920
06/10/2019,14:00,Cremonese,Cittadella,0,2,0,1,7,22,1,5,2.15,3.18,3.46,2.03,1.77,2019/2020,1920
06/10/2019,14:00,Salernitana,Frosinone,1,1,1,0,7,16,2,6,2.79,3.02,2.63,2.15,1.68,2019/2020,1920
06/10/2019,20:00,Ascoli,Pescara,0,2,0,0,10,13,2,2,2.1,3.2,3.56,1.93,1.86,2019/2020,1920
18/10/2019,20:00,Cittadella,Cosenza,1,3,1,0,9,14,3,5,1.85,3.3,4.43,1.98,1.81,2019/2020,1920
19/10/2019,14:00,Juve Stabia,Pordenone,4,2,4,1,12,17,8,6,2.6,2.93,2.91,2.21,1.64,2019/2020,1920
19/10/2019,14:00,Pescara,Spezia,1,2,1,0,8,10,2,2,2.23,3.13,3.31,1.97,1.82,2019/2020,1920
19/10/2019,14:00,Venezia,Salernitana,1,0,1,0,11,4,3,1,2.39,3.02,3.12,2.19,1.66,2019/2020,1920
19/10/2019,14:00,Virtus Entella,Trapani,1,1,1,0,18,11,7,1,2.09,3.13,3.71,2.08,1.73,2019/2020,1920
19/10/2019,17:00,Benevento,Perugia,1,0,1,0,17,14,7,4,1.72,3.47,5.0,1.96,1.83,2019/2020,1920
20/10/2019,14:00,Chievo,Ascoli,2,0,1,0,24,7,8,4,2.03,3.14,3.86,1.99,1.8,2019/2020,1920
20/10/2019,14:00,Pisa,Crotone,1,1,1,0,8,20,3,5,2.77,2.99,2.66,2.23,1.63,2019/2020,1920
20/10/2019,20:00,Empoli,Cremonese,1,1,1,0,17,20,4,8,1.9,3.36,4.07,1.88,1.91,2019/2020,1920
21/10/2019,20:00,Frosinone,Livorno,1,0,0,0,25,9,6,4,1.72,3.4,5.17,2.14,1.68,2019/2020,1920
25/10/2019,20:00,Ascoli,Virtus Entella,2,1,2,1,10,15,4,3,2.03,3.19,3.83,2.05,1.76,2019/2020,1920
26/10/2019,14:00,Cosenza,Chievo,1,1,1,1,13,5,2,1,2.61,3.0,2.84,2.18,1.66,2019/2020,1920
26/10/2019,14:00,Crotone,Venezia,3,2,1,1,21,9,6,3,1.57,3.64,6.38,2.04,1.77,2019/2020,1920
26/10/2019,14:00,Pescara,Benevento,4,0,0,0,13,10,5,2,3.47,3.14,2.16,2.02,1.79,2019/2020,1920
26/10/2019,14:00,Pordenone,Cittadella,0,0,0,0,9,11,4,4,2.55,2.99,2.93,2.07,1.75,2019/2020,1920
26/10/2019,14:00,Salernitana,Perugia,1,1,0,0,8,10,3,4,2.47,3.0,3.02,2.22,1.64,2019/2020,1920
26/10/2019,14:00,Spezia,Juve Stabia,2,0,1,0,17,4,5,1,1.82,3.31,4.63,2.08,1.74,2019/2020,1920
26/10/2019,14:00,Trapani,Empoli,2,2,1,1,21,20,9,9,3.15,3.1,2.34,2.12,1.71,2019/2020,1920
26/10/2019,17:00,Livorno,Pisa,1,0,1,0,10,21,2,2,2.33,2.98,3.29,2.19,1.66,2019/2020,1920
27/10/2019,20:00,Cremonese,Frosinone,1,1,0,0,16,11,6,4,2.47,2.98,3.04,2.24,1.63,2019/2020,1920
29/10/2019,20:00,Chievo,Crotone,2,1,0,1,13,13,1,6,2.43,3.1,2.99,2.06,1.75,2019/2020,1920
29/10/2019,20:00,Cittadella,Livorno,1,0,0,0,11,14,4,7,1.94,3.22,4.12,2.03,1.78,2019/2020,1920
29/10/2019,20:00,Empoli,Spezia,1,1,0,0,16,13,4,4,1.92,3.24,4.2,1.98,1.82,2019/2020,1920
29/10/2019,20:00,Juve Stabia,Pescara,2,1,1,1,11,12,4,6,2.35,3.09,3.14,2.12,1.71,2019/2020,1920
