Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5,Season,SeasonCode
28/10/2018,,Yeni Malatyaspor,Galatasaray,2,0,1,0,12,14,5,2,3.49,3.19,2.12,2.06,1.74,2018/2019,1819
29/10/2018,,Akhisar Belediyespor,Goztep,1,0,1,0,11,13,4,3,2.76,3.31,2.46,1.86,1.91,2018/2019,1819
29/10/2018,,Besiktas,Rizespor,4,1,2,0,26,5,12,2,1.17,6.59,16.86,1.66,2.16,2018/2019,1819
02/11/2018,,Galatasaray,Fenerbahce,2,2,1,0,16,17,3,5,2.05,3.24,3.77,2.18,1.65,2018/2019,1819
03/11/2018,,Akhisar Belediyespor,Erzurum BB,1,1,1,1,10,5,5,1,1.96,3.41,3.79,1.95,1.83,2018/2019,1819
03/11/2018,,Buyuksehyr,Besiktas,1,0,1,0,9,15,3,3,2.29,3.26,3.1,2.02,1.77,2018/2019,1819
03/11/2018,,Kasimpasa,Antalyaspor,1,2,1,1,19,9,6,6,1.87,3.68,3.85,1.53,2.44,2018/2019,1819
04/11/2018,,Alanyaspor,Yeni Malatyaspor,0,1,0,1,17,2,6,1,2.69,3.1,2.66,2.2,1.64,2018/2019,1819
04/11/2018,,Ankaragucu,Kayserispor,3,1,2,0,10,11,5,2,2.32,3.14,3.12,2.17,1.66,2018/2019,1819
04/11/2018,,Trabzonspor,Bursaspor,1,1,1,0,17,14,6,6,1.73,3.68,4.58,1.8,1.98,2018/2019,1819
05/11/2018,,Goztep,Rizespor,2,0,1,0,12,13,6,2,1.68,3.79,4.67,1.84,1.93,2018/2019,1819
05/11/2018,,Sivasspor,Konyaspor,0,0,0,0,17,10,3,2,2.45,3.14,2.9,2.05,1.74,2018/2019,1819
09/11/2018,,Yeni Malatyaspor,Trabzonspor,5,0,2,0,10,15,6,5,2.98,3.19,2.41,2.06,1.74,2018/2019,1819
10/11/2018,,Erzurum BB,Goztep,2,1,1,0,7,9,4,3,2.35,3.22,3.03,2.12,1.7,2018/2019,1819
10/11/2018,,Kayserispor,Galatasaray,0,3,0,1,12,11,3,6,2.41,3.25,2.89,1.95,1.83,2018/2019,1819
10/11/2018,,Konyaspor,Ankaragucu,2,0,0,0,15,7,3,2,1.77,3.5,4.6,2.07,1.74,2018/2019,1819
10/11/2018,,Rizespor,Buyuksehyr,1,2,0,0,6,13,2,4,4.03,3.45,1.89,2.02,1.77,2018/2019,1819
11/11/2018,,Antalyaspor,Akhisar Belediyespor,1,2,0,0,17,5,6,3,1.95,3.45,3.77,1.83,1.95,2018/2019,1819
11/11/2018,,Besiktas,Sivasspor,1,2,1,1,9,10,2,3,1.38,4.67,7.53,1.61,2.26,2018/2019,1819
11/11/2018,,Bursaspor,Kasimpasa,1,2,1,1,24,10,4,4,2.04,3.43,3.46,1.84,1.94,2018/2019,1819
11/11/2018,,Fenerbahce,Alanyaspor,2,0,2,0,12,10,5,3,1.43,4.48,6.78,1.63,2.21,2018/2019,1819
23/11/2018,,Galatasaray,Konyaspor,1,1,0,0,13,8,2,2,1.78,3.46,4.62,2.02,1.77,2018/2019,1819
24/11/2018,,Alanyaspor,Kayserispor,5,0,1,0,15,5,10,1,2.01,3.35,3.69,2.03,1.76,2018/2019,1819
24/11/2018,,Ankaragucu,Besiktas,1,4,0,3,15,15,4,6,4.28,3.66,1.79,1.84,1.94,2018/2019,1819
24/11/2018,,Erzurum BB,Antalyaspor,1,0,0,0,14,7,2,1,2.07,3.29,3.59,2.12,1.7,2018/2019,1819
25/11/2018,,Akhisar Belediyespor,Bursaspor,2,4,2,1,6,19,3,7,2.49,3.09,2.9,2.16,1.67,2018/2019,1819
25/11/2018,,Kasimpasa,Yeni Malatyaspor,3,0,1,0,21,17,9,2,2.04,3.43,3.49,1.75,2.04,2018/2019,1819
25/11/2018,,Sivasspor,Rizespor,1,1,0,0,25,9,6,4,1.8,3.49,4.33,1.85,1.92,2018/2019,1819
25/11/2018,,Trabzonspor,Fenerbahce,2,1,0,0,26,11,8,3,2.4,3.32,2.84,1.82,1.95,2018/2019,1819
26/11/2018,,Goztep,Buyuksehyr,0,2,0,1,15,15,4,7,2.9,3.11,2.46,2.17,1.65,2018/2019,1819
30/11/2018,,Konyaspor,Alanyaspor,2,0,0,0,9,8,4,2,1.73,3.59,4.84,2.03,1.77,2018/2019,1819
30/11/2018,,Rizespor,Ankaragucu,1,1,0,1,21,10,6,4,1.99,3.55,3.54,1.84,1.95,2018/2019,1819
